,ABS,ActiveSafetySysNote,AdaptiveCruiseControl,AdaptiveDrivingBeam,AdaptiveHeadlights,AdditionalErrorText,AirBagLocCurtain,AirBagLocFront,AirBagLocKnee,AirBagLocSeatCushion,AirBagLocSide,AutoReverseSystem,AutomaticPedestrianAlertingSound,AxleConfiguration,Axles,BasePrice,BatteryA,BatteryA_to,BatteryCells,BatteryInfo,BatteryKWh,BatteryKWh_to,BatteryModules,BatteryPacks,BatteryType,BatteryV,BatteryV_to,BedLengthIN,BedType,BlindSpotIntervention,BlindSpotMon,BodyCabType,BodyClass,BrakeSystemDesc,BrakeSystemType,BusFloorConfigType,BusLength,BusType,CAN_AACN,CIB,CashForClunkers,ChargerLevel,ChargerPowerKW,CoolingType,CurbWeightLB,CustomMotorcycleType,DaytimeRunningLight,DestinationMarket,DisplacementCC,DisplacementCI,DisplacementL,Doors,DriveType,DriverAssist,DynamicBrakeSupport,EDR,ESC,EVDriveUnit,ElectrificationLevel,EngineConfiguration,EngineCycles,EngineCylinders,EngineHP,EngineHP_to,EngineKW,EngineManufacturer,EngineModel,EntertainmentSystem,ErrorCode,ErrorText,ForwardCollisionWarning,FuelInjectionType,FuelTypePrimary,FuelTypeSecondary,GCWR,GCWR_to,GVWR,GVWR_to,KeylessIgnition,LaneCenteringAssistance,LaneDepartureWarning,LaneKeepSystem,LowerBeamHeadlampLightSource,Make,MakeID,Manufacturer,ManufacturerId,Model,ModelID,ModelYear,MotorcycleChassisType,MotorcycleSuspensionType,NCSABodyType,NCSAMake,NCSAMapExcApprovedBy,NCSAMapExcApprovedOn,NCSAMappingException,NCSAModel,NCSANote,NonLandUse,Note,OtherBusInfo,OtherEngineInfo,OtherMotorcycleInfo,OtherRestraintSystemInfo,OtherTrailerInfo,ParkAssist,PedestrianAutomaticEmergencyBraking,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Pretensioner,RearAutomaticEmergencyBraking,RearCrossTrafficAlert,RearVisibilitySystem,SAEAutomationLevel,SAEAutomationLevel_to,SeatBeltsAll,SeatRows,Seats,SemiautomaticHeadlampBeamSwitching,Series,Series2,SteeringLocation,SuggestedVIN,TPMS,TopSpeedMPH,TrackWidth,TractionControl,TrailerBodyType,TrailerLength,TrailerType,TransmissionSpeeds,TransmissionStyle,Trim,Trim2,Turbo,VIN,ValveTrainDesign,VehicleDescriptor,VehicleType,WheelBaseLong,WheelBaseShort,WheelBaseType,WheelSizeFront,WheelSizeRear,Wheels,Windows
0,Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),Standard,,,2,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,2000,122.0474881894,2,4,4x2,,Standard,,Standard,,Strong HEV (Hybrid Electric Vehicle),In-Line,4,4,143,,106.6351,Honda,LFB2,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,Sequential Fuel Injection (SFI),Gasoline,Electric,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2020,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,181HP(Motor),,"seat belts: front, rear, rear center",,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,Hybrid Touring,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,,1HGCV3F91LA015984*BA,Dual Overhead Cam (DOHC),1HGCV3F9*LA,PASSENGER CAR,,111.40,,,,4,
1,Standard,Traffic Sign Recognition,Standard,Standard,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,25780,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,HONDA,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2018,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,Sport,,Left-Hand Drive (LHD),,Indirect,155,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,Yes,1HGCV1F36JA039324*BA,Dual Overhead Cam (DOHC),1HGCV1F3*JA,PASSENGER CAR,,111.4,,19,19,4,
2,Standard,,Standard,Standard,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,26180,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,HONDA,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2019,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,Sport,,Left-Hand Drive (LHD),,Indirect,155,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,Yes,1HGCV1F38KA100917*BA,Dual Overhead Cam (DOHC),1HGCV1F3*KA,PASSENGER CAR,,111.40,,17,17,4,
3,Standard,,Standard,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,HONDA,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2020,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,Sport,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,Yes,1HGCV1F32LA060903*BA,Dual Overhead Cam (DOHC),1HGCV1F3*LA,PASSENGER CAR,,111.40,,19,19,4,
4,Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,31290,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,Honda,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,Standard,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2021,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,"HD Radio, Bluetooth, Satellite Radio, Auxiliary Audio Input, MP3 Player   ",,Direct Fuel Injection,,Seat Belt: Front / Rear: Seat Belt and Side Curtain Air Bag (Outer positions) / Seat Belt (Center position),,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,Standard,Standard,,,Manual,2,5,Standard,,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),EX-L,,Yes,1HGCV1F5XMA079539*BA,Dual Overhead Cam (DOHC),1HGCV1F5*MA,PASSENGER CAR,,111.40,,17,17,4,
5,Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,32110,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,2000.0,122.04748818946,2.0,4,4x2,,Standard,,Standard,,,In-Line,4,4,252,,187.9164,Honda,K20C4,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,Standard,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2021,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,Seat Belt: Front / Rear: Seat Belt and Side Curtain Air Bag (Outer positions) / Seat Belt (Center position),,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,10,Automatic,Sport,,Yes,1HGCV2F30MA000559*BA,Dual Overhead Cam (DOHC),1HGCV2F3*MA,PASSENGER CAR,,111.40,,,,4,
6,Standard,,Standard,Standard,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,26180,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,2000.0,122.04748818946,2.0,4,4x2,,Standard,,Standard,,,In-Line,4,4,252,,187.9164,HONDA,K20C4,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2019,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,Sport,,Left-Hand Drive (LHD),,Indirect,155,,Standard,Not Applicable,,Not Applicable,10,Automatic,,,Yes,1HGCV2F38KA021298*BA,Dual Overhead Cam (DOHC),1HGCV2F3*KA,PASSENGER CAR,,111.40,,17,17,4,
7,Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,27430,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,Honda,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,Standard,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2021,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,"Entertainment System: Bluetooth, Auxiliary Audio Input, MP3 Player  ",,Direct Fuel Injection,,Seat Belt: Front / Rear: Seat Belt and Side Curtain Air Bag (Outer positions) / Seat Belt (Center position),,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),Sport,,Yes,1HGCV1F31MA102561*BA,Dual Overhead Cam (DOHC),1HGCV1F3*MA,PASSENGER CAR,,111.40,,19,19,4,
8,Standard,,Standard,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,HONDA,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,LED,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2020,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,EX-L,,Left-Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,Yes,1HGCV1F54LA034935*BA,Dual Overhead Cam (DOHC),1HGCV1F5*LA,PASSENGER CAR,,111.40,,,,4,
9,Standard,Traffic Sign Recognition,Standard,Standard,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,23570,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,Standard,,,,Water,,Not Applicable,Standard,,1500.0,91.53561614209,1.5,4,4x2,,Standard,,Standard,,,In-Line,4,4,192,,143.1744,HONDA,L15BE,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Standard,,Standard,Standard,,HONDA,474,"AMERICAN HONDA MOTOR CO., INC.",988,Accord,1861,2018,Not Applicable,Not Applicable,"4-door sedan, hardtop",Honda,,,,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",,,,,Direct Fuel Injection,,,,,,MARYSVILLE,,UNITED STATES (USA),OHIO,,,,,Standard,,,Manual,2,5,Standard,LX,,Left-Hand Drive (LHD),,Indirect,155,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),,,Yes,1HGCV1F18JA175078*BA,Dual Overhead Cam (DOHC),1HGCV1F1*JA,PASSENGER CAR,,111.4,,17,17,4,
